
Team Salary:  49800  Team PPG:  116.449 Team Targets:  93
Name            Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
Eli Manning       NYG     18.906    375.542                     1            0         0            0         0
Alfred Morris     WAS     11.931    419.076                    25            2        25            2        50
Lamar Miller      MIA     14.525    378.657                    14            0         0            0         0
Michael Crabtree  OAK     10.138    404.419                     8            1        16            0         0
Emmanuel Sanders  DEN     19.671    386.356                    12            0         0            0         0
Randall Cobb      GB      19.594    377.667                     5            1         5            1        16
Charles Clay      BUF      9.964    341.228                     4            0         0            0         0
DeMarco Murray    PHI     24.033    291.266                    13            5        38            4        80
Buccaneers        TB       6.625    392.453                     0            0         0            0         0


Team Salary:  49300  Team PPG:  135.29 Team Targets:  85
Name               Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
-----------------  ------  ------  ---------  --------------------  -----------  --------  -----------  --------
Joe Flacco         BAL     18.571    344.623                     0            0         0            0         0
Marshawn Lynch     SEA     19.839    362.922                    25            3        15            2        18
Benny Cunningham   STL      7.925    555.205                    23            2        16            0         0
Odell Beckham      NYG     26.417    333.119                     8            2        13            0         0
James Jones        GB      11.1      423.423                     4            2        10            1        16
Andre Johnson      IND     13.107    442.512                    10            2        14            2        18
Martellus Bennett  CHI     14.225    316.344                     7            0         0            0         0
Joique Bell        DET     13.231    347.668                     8            0         0            0         0
Texans             HOU     10.875    266.667                     0            0         0            0         0


Team Salary:  49600  Team PPG:  136.124 Team Targets:  89
Name            Team       PPG    $/Point    Touches/game(2015)    Tinside20    %%Team    Tinside10    %%Team
--------------  ------  ------  ---------  --------------------  -----------  --------  -----------  --------
Eli Manning     NYG     18.906    375.542                     1            0         0            0         0
Alfred Morris   WAS     11.931    419.076                    25            2        25            2        50
Chris Ivory     NYJ      9.963    471.745                    21            8        38            6        75
Randall Cobb    GB      19.594    377.667                     5            1         5            1        16
Anquan Boldin   SF      13.913    409.689                     5            1         5            0         0
Julian Edelman  NE      17.065    392.616                    13            1         6            1        14
Dwayne Allen    IND      8.906    370.537                     6            2        14            2        18
DeMarco Murray  PHI     24.033    291.266                    13            5        38            4        80
Eagles          PHI     11.813    228.562                     0            0         0            0         0

