"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Jamize Olawale",3000,"Oak@Chi 01:00PM ET",5.500,"Oak"
"WR","Marquess Wilson",3000,"Oak@Chi 01:00PM ET",4.950,"Chi"
"WR","Cameron Meredith",3000,"Oak@Chi 01:00PM ET",6.600,"Chi"
"RB","Jerick McKinnon",3000,"Min@Den 04:25PM ET",2.700,"Min"
"RB","Zach Zenner",3000,"Det@Sea 08:30PM ET",0.300,"Det"
"RB","Terron Ward",3000,"Hou@Atl 01:00PM ET",0.950,"Atl"
"WR","Willie Snead",3000,"Dal@NO 08:30PM ET",10.350,"NO"
"WR","Chris Conley",3000,"KC@Cin 01:00PM ET",0.000,"KC"
"WR","Quinton Patton",3000,"GB@SF 04:25PM ET",3.250,"SF"
"WR","Sammie Coates",3000,"Bal@Pit 08:25PM ET",0,"Pit"
"RB","Ka'Deem Carey",3000,"Oak@Chi 01:00PM ET",0,"Chi"
"WR","Rashad Ross",3000,"Phi@Was 01:00PM ET",5.350,"Was"
"WR","Ty Montgomery",3000,"GB@SF 04:25PM ET",3.850,"GB"
"RB","Javorius Allen",3000,"Bal@Pit 08:25PM ET",3.050,"Bal"
