"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Kellen Moore",5000,"Dal@NO 08:30PM ET",0,"Dal"
"QB","Austin Davis",5000,"Cle@SD 04:05PM ET",0,"Cle"
"QB","Landry Jones",5000,"Bal@Pit 08:25PM ET",0,"Pit"
"QB","EJ Manuel",5000,"NYG@Buf 01:00PM ET",0,"Buf"
"QB","Blaine Gabbert",5000,"GB@SF 04:25PM ET",0,"SF"
"QB","Sean Renfree",5000,"Hou@Atl 01:00PM ET",0,"Atl"
"QB","Mike Glennon",5000,"Car@TB 01:00PM ET",0,"TB"
"QB","Ryan Nassib",5000,"NYG@Buf 01:00PM ET",0,"NYG"
"QB","Ryan Griffin",5000,"Car@TB 01:00PM ET",0,"TB"
"QB","Matt McGloin",5000,"Oak@Chi 01:00PM ET",11.680,"Oak"
"QB","Matt Barkley",5000,"StL@Ari 04:25PM ET",0,"Ari"
"QB","Aaron Murray",5000,"KC@Cin 01:00PM ET",0,"KC"
"QB","Brock Osweiler",5000,"Min@Den 04:25PM ET",0,"Den"
"QB","Bryce Petty",5000,"NYJ@Mia 09:30AM ET",0,"NYJ"
"QB","AJ McCarron",5000,"KC@Cin 01:00PM ET",0,"Cin"
"QB","David Fales",5000,"Oak@Chi 01:00PM ET",0,"Chi"
"QB","Geno Smith",5000,"NYJ@Mia 09:30AM ET",0,"NYJ"
"QB","Garrett Grayson",5000,"Dal@NO 08:30PM ET",0,"NO"
"RB","Giovani Bernard",5000,"KC@Cin 01:00PM ET",17.350,"Cin"
"QB","Trevor Siemian",5000,"Min@Den 04:25PM ET",0,"Den"
"QB","Sean Mannion",5000,"StL@Ari 04:25PM ET",0,"StL"
"QB","Brett Hundley",5000,"GB@SF 04:25PM ET",0,"GB"
"QB","Johnny Manziel",5000,"Cle@SD 04:05PM ET",13.380,"Cle"
"QB","Taylor Heinicke",5000,"Min@Den 04:25PM ET",0,"Min"
"WR","Donte Moncrief",5000,"JAC@Ind 01:00PM ET",22.400,"Ind"
"WR","Vincent Jackson",4900,"Car@TB 01:00PM ET",11.750,"TB"
"RB","Melvin Gordon",4900,"Cle@SD 04:05PM ET",9.750,"SD"
"WR","Anquan Boldin",4800,"GB@SF 04:25PM ET",12.800,"SF"
"WR","Eric Decker",4800,"NYJ@Mia 09:30AM ET",17.700,"NYJ"
"RB","Chris Ivory",4800,"NYJ@Mia 09:30AM ET",15.500,"NYJ"
"RB","Frank Gore",4700,"JAC@Ind 01:00PM ET",5.600,"Ind"
"RB","Jonathan Stewart",4700,"Car@TB 01:00PM ET",9.500,"Car"
"RB","Lamar Miller",4700,"NYJ@Mia 09:30AM ET",8.850,"Mia"
"RB","Ronnie Hillman",4700,"Min@Den 04:25PM ET",3.750,"Den"
"WR","Davante Adams",4700,"GB@SF 04:25PM ET",9.100,"GB"
"RB","DeAngelo Williams",4600,"Bal@Pit 08:25PM ET",24.200,"Pit"
"WR","Victor Cruz",4600,"NYG@Buf 01:00PM ET",0,"NYG"
"WR","Michael Crabtree",4600,"Oak@Chi 01:00PM ET",18.900,"Oak"
"WR","Percy Harvin",4600,"NYG@Buf 01:00PM ET",14.600,"Buf"
"RB","Danny Woodhead",4600,"Cle@SD 04:05PM ET",18.800,"SD"
"WR","Torrey Smith",4600,"GB@SF 04:25PM ET",15.550,"SF"
"TE","Tyler Eifert",4600,"KC@Cin 01:00PM ET",24.650,"Cin"
"WR","Marques Colston",4500,"Dal@NO 08:30PM ET",8.400,"NO"
"RB","Darren Sproles",4500,"Phi@Was 01:00PM ET",12.750,"Phi"
"WR","Andre Johnson",4500,"JAC@Ind 01:00PM ET",6.050,"Ind"
"RB","Chris Johnson",4500,"StL@Ari 04:25PM ET",5.450,"Ari"
"TE","Martellus Bennett",4500,"Oak@Chi 01:00PM ET",12.650,"Chi"
"WR","Terrance Williams",4500,"Dal@NO 08:30PM ET",14.700,"Dal"
"WR","Travis Benjamin",4500,"Cle@SD 04:05PM ET",26.700,"Cle"
"WR","Rueben Randle",4500,"NYG@Buf 01:00PM ET",11.467,"NYG"
"TE","Jordan Reed",4500,"Phi@Was 01:00PM ET",16.367,"Was"
"TE","Julius Thomas",4500,"JAC@Ind 01:00PM ET",0,"JAC"
"WR","Breshad Perriman",4500,"Bal@Pit 08:25PM ET",0,"Bal"
